City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
178,Vanimo,PG,-2.6741,141.3028,83.73,75,99,4.34,overcast clouds
179,Walvis Bay,NA,-22.9575,14.5053,57.09,88,47,8.05,scattered clouds
180,Broome,US,42.2506,-75.833,34.38,75,40,3.0,scattered clouds
181,Hermosillo,MX,29.0667,-110.9667,77.38,29,40,1.99,scattered clouds
182,Falmouth,GB,50.1544,-5.0711,50.77,93,75,5.75,mist
183,Makokou,GA,0.5738,12.8642,67.96,99,39,1.45,scattered clouds
184,Coihaique,CL,-45.5752,-72.0662,53.55,66,0,2.3,clear sky
185,Soure,BR,-0.7167,-48.5233,79.97,84,60,9.22,broken clouds
186,Chippewa Falls,US,44.9369,-91.3929,33.39,63,1,8.05,clear sky
187,Kalisz,PL,51.7611,18.091,52.72,79,72,20.74,broken clouds
188,Chuy,UY,-33.6971,-53.4616,59.25,78,0,8.12,clear sky
189,Port Moresby,PG,-9.4431,147.1797,89.02,70,40,17.27,scattered clouds
190,Aksha,RU,50.2814,113.2867,19.96,61,67,4.47,broken clouds
191,Hamilton,US,39.1834,-84.5333,34.65,79,1,1.01,clear sky
192,Rincon,US,32.296,-81.2354,54.86,69,20,9.22,few clouds
193,Adrar,MR,20.5022,-10.0711,73.08,25,100,10.11,overcast clouds
194,Faya,SA,18.3851,42.4509,54.12,84,2,5.82,clear sky
195,New Norfolk,AU,-42.7826,147.0587,59.67,55,76,5.1,broken clouds
196,Waipawa,NZ,-41.4122,175.5153,63.23,34,50,9.35,scattered clouds
197,Malakal,SS,9.5334,31.6605,77.77,37,0,5.66,clear sky
198,Talkha,EG,31.0539,31.3779,58.71,89,100,6.51,overcast clouds
199,Kochubey,RU,44.3861,46.5825,41.67,82,96,2.64,overcast clouds
200,Krechevitsy,RU,58.617,31.401,34.32,97,100,9.93,overcast clouds
201,Flinders,AU,-34.5833,150.8552,66.2,91,100,12.73,light rain
202,Thompson,CA,55.7435,-97.8558,21.36,86,90,8.05,light snow
203,Beloha,MG,-25.1667,45.05,75.4,77,97,6.42,overcast clouds
204,Shimanovsk,RU,52.0,127.7,17.92,56,87,4.12,overcast clouds
205,Manjeshwar,IN,12.7194,74.8861,77.95,88,100,2.26,overcast clouds
206,Veselynove,UA,47.3567,31.2349,45.55,89,99,15.32,overcast clouds
207,Coracao De Jesus,BR,-16.6853,-44.365,70.52,88,100,1.83,moderate rain
208,Tahta,EG,26.7693,31.5021,59.32,65,0,7.52,clear sky
209,Mar Del Plata,AR,-38.0023,-57.5575,58.08,94,0,7.0,fog
210,Loknya,RU,56.83,30.1467,43.3,80,97,17.02,overcast clouds
211,Deer Lake,CA,49.1667,-57.4316,39.06,93,90,8.05,overcast clouds
212,Pereira Barreto,BR,-20.6383,-51.1092,70.3,89,98,4.21,overcast clouds
213,Clyde River,CA,70.4692,-68.5914,10.63,92,100,19.57,light snow
214,Labuhan,ID,-6.8844,112.2051,77.67,87,100,3.33,moderate rain
215,Tabuk,PH,17.4189,121.4443,83.93,61,43,7.49,scattered clouds
216,Port Hedland,AU,-20.3167,118.5667,96.85,34,31,11.5,scattered clouds
217,Kavieng,PG,-2.5744,150.7967,83.97,69,90,6.35,overcast clouds
218,Alberdi,AR,-32.8899,-60.6906,69.69,73,0,1.14,clear sky
219,Half Moon Bay,US,37.4636,-122.4286,60.03,90,90,1.01,overcast clouds
220,Jalu,LY,29.0331,21.5482,61.38,77,84,9.04,broken clouds
221,Hambantota,LK,6.1241,81.1185,82.74,83,0,9.22,clear sky
222,Praya,CV,14.9215,-23.5087,77.54,88,90,6.91,overcast clouds
223,Padang,ID,-0.9492,100.3543,87.85,62,71,4.81,broken clouds
224,Piranhas,BR,-16.4269,-51.8222,71.1,92,98,3.96,overcast clouds
225,Hofn,IS,64.2539,-15.2082,35.51,75,13,10.11,few clouds
226,Pafos,CY,34.7667,32.4167,58.78,77,75,8.05,broken clouds
227,Alta Floresta,BR,-9.8756,-56.0861,71.06,99,100,3.85,light rain
228,Saint-Philippe,RE,-21.3585,55.7679,81.48,67,27,13.47,scattered clouds
229,Port Macquarie,AU,-31.4333,152.9167,82.36,76,100,10.22,overcast clouds
230,Esso,RU,55.9333,158.7,12.45,96,67,5.19,broken clouds
231,East London,ZA,-33.0153,27.9116,58.14,94,20,5.75,light rain
232,Farah,AF,32.5,62.5,48.07,38,0,1.43,clear sky
233,Zavetnoye,RU,47.1194,43.8903,39.0,92,100,9.8,overcast clouds
234,Clermont,FR,49.5,2.4167,48.0,95,12,3.56,few clouds
235,Airai,TL,-8.9266,125.4092,75.38,64,97,1.19,overcast clouds
236,Mount Isa,AU,-20.7333,139.5,98.37,19,5,8.05,clear sky
237,Kouango,CF,4.9934,19.9619,73.02,84,52,0.51,broken clouds
238,Havoysund,NO,70.9963,24.6622,34.68,95,100,27.69,light snow
239,Nuuk,GL,64.1835,-51.7216,27.21,86,90,25.32,snow
